text,_id
The bread is top notch as well.,32897564#894393#2
I have to say they have one of the fastest delivery times in the city.,33070600#670328#0
Food is always fresh and hot- ready to eat!,33070600#670328#2
Did I mention that the coffee is OUTSTANDING?,36244464#949326#5
"Certainly not the best sushi in New York, however, it is always fresh, and the place is very clean, sterile.",32894246#870052#0
"I trust the people at Go Sushi, it never disappoints.",32894246#870052#1
"Straight-forward, no surprises, very decent Japanese food.",32894246#870052#2
"BEST spicy tuna roll, great asian salad.",35390182#756337#4
Try the rose roll (not on menu).,35390182#756337#5
"I love the drinks, esp lychee martini, and the food is also VERY good.",11447227#436718#3
"In fact, this was not a Nicoise salad and was barely eatable.",33071731#1007204#3
"While there's a decent menu, it shouldn't take ten minutes to get your drinks and 45 for a dessert pizza.",33085939#758010#0
"Once we sailed, the top-notch food and live entertainment sold us on a unforgettable evening.",11313431#524365#3
Our waiter was horrible; so rude and disinterested.,11359717#1138929#1
The sangria's - watered down.,11359717#1138929#3
"menu - uneventful, small.",11359717#1138929#4
Anytime and everytime I find myself in the neighborhood I will go to Sushi Rose for fresh sushi and great portions all at a reasonable price.,11313439#692431#0
Great food but the service was dreadful!,11351513#832512#0
The portions of the food that came out were mediocre.,35390148#588852#2
the two waitress's looked like they had been sucking on lemons.,11351513#832512#1
"From the beginning, we were met by friendly staff memebers, and the convienent parking at Chelsea Piers made it easy for us to get to the boat.",11313431#524365#2
We enjoyed ourselves thoroughly and will be going back for the desserts ....,35196520#758440#4
Desserts are almost incredible: my personal favorite is their Tart of the Day.,35196527#481646#2
I am surprised at the lower reviews because it is definitely better than other places I have tried with higher ratings.,35668126#536759#0
Maybe the secret was that we went on a Sunday night and everything was great.,35668126#536759#1
"The food was extremely tasty, creatively presented and the wine excellent.",35668126#536759#2
WE ENDED UP IN LITTLE ITALY IN LATE AFTERNOON.,33070286#1133164#0
WE WERE PLEASANTLY SURPRISED WITH OUR CHOICE.,33070286#1133164#4
THE LASAGNA WAS PROBABLY THE BEST I HAVE TASTED.,33070286#1133164#6
Harumi Sushi has the freshest and most delicious array of sushi in NYC.,32894336#662479#0
"I highly recommend it for not just its superb cuisine, but also for its friendly owners and staff.",32894336#662479#1
"If you're craving some serious indian food and desire a cozy ambiance, this is quite and exquisite choice.",32892130#435512#0
I definitely enjoyed the food as well.,32892130#435512#4
have always had a great time here.,32894791#1611374#0
"It was pleasantly uncrowded, the service was delightful, the garden adorable, the food (from appetizers to entrees) was delectable.",11432316#715219#2
You will be very happy with the experience.,33085669#409731#13
"The food is surprisingly good, and the decor is nice.",11351354#412616#0
How pretentious and inappropriate for MJ Grill to claim that it provides power lunch and dinners!,35714274#1076679#0
Two wasted steaks -- what a crime!,35714274#1076679#5
The staff should be a bit more friendly.,35720486#684689#4
I absolutely suggest this place.,33507331#1177339#2
I think the meatball parm is good.,33064346#1483297#0
"If you want good tasting, well seasoned latin food eat at Cabana and you can't go wrong.",11417054#1062693#2
Definitely try the taglierini with truffles - it was incredible.,13383936#420974#4
"Also, the staff is very attentive and really personable.",13383936#420974#5
"Overall, this is a great new restaurant that has been consistently good every time I have been.",13383936#420974#6
The gnocchi literally melts in your mouth!,36244423#1058258#2
Had a great experience at Trio ... staff was pleasant; food was tasty and large in portion size - I would highly recommend the portobello/gorgonzola/sausage appetizer and the lobster risotto.,11559272#409013#0
"Entrees include classics like lasagna, fettuccine Alfredo and chicken parmigiana.",36244784#0#3
"The food is good, the teriyaki I recommend.",32938222#1552119#2
Meal was very expensive for what you get.,11546184#1465600#0
Try the Peanut Butter Sorbet and the pizza with soy cheese!,32895093#418997#3
"Good food at the right price, what more can you ask for.",32406302#615620#2
"We love it, and took buses and cabs to get there.",35390182#756337#1
"If you' re in New York, you do not want to miss this place.",11302356#1455624#2
"The food is top notch, the service is attentive, and the atmosphere is great.",11302356#1455624#1
"I've been coming here on and off for the past five years and I have to say that La Lanterna has never, ever dissapointed me.",11302356#1455624#0
"Great food, great waitstaff, great atmosphere, and best of all GREAT beer!",11302355#533813#0
this is still one of my most favorite restaurants in the area the food is inexpensive but very good (kimono shrimp special was excellent) and has a great atmosphere.,35698351#821341#0
"My husband and I moved to Nolita 6 years ago and for as long as we have lived here, Peasant has been our favorite!",11351664#1238806#0
The whole experience was satisfying.,33070305#1312437#6
"However, it was worth the visit.",33070305#1312437#1
The menu is interesting and quite reasonably priced.,33070305#1312437#2
The food was delicious and clearly fresh ingredients were used.,33070305#1312437#3
This made it obvious that the food wasn't cooked fresh; it was obviously made before hand and then reheated.,11610073#973003#3
Appetizer are excellent here; you can make a great (and inexpensive) meal out of them.,11464789#378665#0
The spicy mussels are a highlight.,11464789#378665#1
Also get the Onion Rings -- best we've ever had.,32899282#556036#2
Would not return for the amount we paid.,11351587#1488758#8
"However, being foodies, we were utterly disappointed with the food.",11351587#1488758#2
"Huge portions, great and attentive service, and pretty good prices.",11359656#1716239#1
I was highly disappointed by their service and food.,11359797#469087#7
"I complained to the waiter and then to the manager, but the intensity of rudeness from them just went up.",11359797#469087#6
The food is great and the milkshakes are even better!,32938828#1194079#1
Stay away if you're claustrophobic,11349445#757796#5
"If you're in the 'hood, definitely stop in.",11349445#757796#0
the mushroom barley soup is amazing.,11349445#757796#1
"On the recommendation of a friend, I checked out Arezzo with my wife.",11602699#875811#0
"I'm glad I did as the food was very good and the staff was friendly, courteous and efficient.",11602699#875811#1
Their duck here is also absolutely delicious.,11313316#1234433#2
This is definitely one of the places that I have continued to come back to over the years.,11313316#1234433#0
"While it was large and a bit noisy, the drinks were fantastic, and the food was superb.",11351762#644011#1
One caveat: Some of the curried casseroles can be a trifle harsh.,35719198#0#5
I wasn't impressed and it wasn't SPICEY????,35158451#1089920#3
The food was almost always EXCELLENT.,33070461#1496736#1
I was pleasently surprised at the taste.,32882616#562969#4
"A nice space, as long as it doesn't get too crowded and a singleminded devotion to its chosen cuisine make Mare a great choice for seafood lovers.",33070309#423221#1
I never had an orange donut before so I gave it a shot.,32882616#562969#3
"they really provide a relaxing, laid-back atmosphere.",35171678#484493#3
This particular location certainly uses substandard meats.,32945645#1528063#2
I stumbled upon this resteraunt on my way home from the subway.,32895093#418997#0
The Management was less than accomodating.,11546184#1465600#4
The ambience is also more laid-back and relaxed.,13383936#420974#2
the teas are great and all the sweets are homemade.,35692932#1064131#3
mojitos and the service are the best part in there,11488685#420977#1
"Sandwiches, burgers and salads, like the lemon-dressed cobb, are classic successes.",35397104#0#3
this restaurant is absolutely beautiful.,35820984#608922#0
The design is very intimate and romantic.,35820984#608922#1
The food was wonderful and imaginative.,35820984#608922#2
The staff is very sharp and they look good too.,35820984#608922#3
The worst though was the taste.,36245348#821441#2
"They were dry, stale and pretty flavorless.",36245348#821441#3
The fajita we tried was tasteless and burned and the mole sauce was way too sweet.,11432442#650772#5
Stay with the roasted chickens and you'll be fine.,11432442#650772#6
"The atmosphere is warm, comfortable, artsy and sexy.",32944693#1193404#4
"The food is great (big selection, reasonable prices) and the drinks are really good.",32944693#1193404#1
The steak melted in my mouth.,35693214#539116#1
"The food did take a few extra minutes to come, but the cute waiters' jokes and friendliness made up for it.",32950007#1320096#3
"Most importantly, it is reasonably priced.",35938288#666236#2
"The selection of food is excellent (I'm not used to having much choice at restaurants), and the atmosphere is great.",11350660#564640#1
"Only suggestion is that you skip the dessert, it was overpriced and fell short on taste.",35393632#1591698#7
"Food was decent, but not great.",15087705#871249#1
I have no idea why this restaurant is so often overlooked.,11349871#518230#0
"From the moment you walk in, you feel like you're in the perfect place.",11349871#518230#1
i dont know what some people who rave about this hot dog are talking about.,11651062#1264882#1
it is a hidden delight complete with a quaint bar and good food.,11359619#487952#3
"I find that most Kosher restaurants are average to good, but this has been the best I've eaten so far.",32893510#483382#2
The waiters ALWAYS look angry and even ignore their high-tipping regulars.,11351628#404492#6
"the atmosphere is very nice, and a welcome escape from the rest of the SI mall.",35709141#1107179#0
"Yes, they're a bit more expensive then typical, but then again, so is their food.",32935211#1468239#1
"Not terrible, but not the restaurant in the reviews of 2002.",11351725#582163#11
"I can say that the wraps, burgers and salads were all fresh, tasty and the mango margareta at $9 was WELL WORTH the money.",33069901#1437116#3
It was delicious and large!,33069901#1437116#4
"Anywhere else, the prices would be 3x as high!",35709337#1579632#6
The service we experienced was friendly and good.,33069901#1437116#1
Our waiter was friendly and it is a shame that he didnt have a supportive staff to work with.,11351725#582163#9
The folding chair I was seated at was uncomfortable.,11351725#582163#7
As we waited I watched 3 seperate groups of diners discuss how dissapointed they also were.,11351725#582163#5
An excellent choice in midtown.,11432842#416795#5
Service was among the best I have ever had in NYC.,11432842#416795#1
The fettucino alfredo was amazing.,11432842#416795#2
The food was very good and I was pleasantly surprised to see so many vegan options.,33067279#1612676#1
I know real Indian food and this wasn't it.,32930165#1643018#3
"Be sure to try the Smoked Trout...Lamb Chops, Veal Chops, Rabbit, the potato gratin, on and on and on...",11359727#487554#5
"Even when the chef is not in the house, the food and service are right on target.",11359727#487554#2
Everything from the eggs benedict to the mussels and even the hamburger were done well and very tasty.,32893609#708406#2
"The waiters were very professional, courteous and attentive.",32926987#668438#1
My boyfriend and I went here last night and LOVED it!,32926987#668438#0
The falafal was rather over cooked and dried but the chicken was fine.,32935729#785247#5
"I highly reccomend the grand marnier shrimp, it's insanely good.",32935211#1468239#3
"We been there and we really enjoy the food, was areally great food, and the service was really good.",32944704#492723#0
Desserts include flan and sopaipillas.,33061325#0#3
I was starving and the small portions were driving me crazy!,32894513#498296#0
The wait staff was loud and inconsiderate.,35709141#1107179#4
"However, the food and service and dramatically lacking.",35709141#1107179#1
The sushi is cut in blocks bigger than my cell phone.,35709141#1107179#2
"The service is great, my soup always arrives nice and hot.",11350496#1560668#3
It had been awhile and I forgot just how delicious crepes can be.,11351625#909535#1
Montparnasse's desserts--especially the silken creme brulee and paper-thin apple tart--are good enough on their own to make the restaurant worth the trip.,11351622#0#5
My friend told me about this restaurant for a year before he finally took me this weekend.,35701425#1155856#1
i had a delicious shrimp creole.,11351620#1180095#0
The chicken dinner was real good.,11351620#1180095#1
Beware of the chili signed food items not unless you want to call the fire department to douse the flames in your mouth.,32464595#574909#4
The decor is designed in a contemporary Japanese style restaurant.,32938222#1552119#1
but the food was delicious.,11351620#1180095#3
"Try the ribs, sizzling beef and couple it with coconut rice.",32464595#574909#2
The only drawback is that it's a little pricey.,32893510#483382#3
Everything about this place was wonderful.,32893510#483382#0
The avocado salad is a personal fave.,32893040#1716582#5
"And, the honey BBQ rib tips are yummy!",32893040#1716582#6
The BEST Chinese food Uptown!,32893040#1716582#0
Service is known for bending over backwards to make everyone happy.,35170181#0#2
"The atmosphere is attractive, but a little uncomfortable.",32464601#418474#1
The staff is very friendly.,32464601#418474#2
Waiters are very friendly and the pasta is out of this world.,11359618#788741#3
Great wine list and great cocktail menu.,33068517#482841#2
The crab cakes are delicious and the BBQ rib was perfect.,33068517#482841#1
"The food is wonderful, artfully done and simply delicious.",35869867#649564#1
Tiny restaurant with very fast service.,32864873#471207#1
"The sauce may not be for everyone, since it is distintive.",11350539#680470#4
My husband and I have been there at least 6 times and we've always been given the highest service and often free desserts.,33069536#707145#3
"A beautiful atmosphere, perfect for drinks and/or appetizers.",32899414#512291#0
Curioni's Pizza has been around since the 1920's.,32469157#1273114#0
They make the best pizza in New Jersey.,32469157#1273114#1
I recently visited over this past summer after being away for a year.,36072604#1106889#1
"What a difference, the service was very comforting and the food was better than average, but what really standed out was such a dynamic and extensive beer list.",36072604#1106889#2
"Frankly, the chinese food here is something I can make better at home.",12036269#580745#1
There was only one waiter for the whole restaurant upstairs.,12036269#580745#2
We started with the scallops and asparagus and also had the soft shell crab as well as the cheese plate.,35695422#1464305#3
"Not to be overlooked, the service is excellent.",36220672#1714981#3
this without question is one of the worst hotdogs i have ever had.,11651062#1264882#2
"The staff is unbelievably friendly, and I dream about their Saag gosht...so good.",32971013#1044651#2
I also recommend the garlic knots.,33064238#563983#2
Best Indian food I have ever eaten.,32971013#1044651#0
You won't be dissapointed.,11351521#768768#3
This place has the best pizza.,33064238#563983#0
Culinaria is a welcome addition to the Garment district- far better than any restaurant in the area.,35816071#637243#0
The music which is sometimes a little too heavy for my taste.,32896473#439063#3
The service is excellent and always informative without an air.,11350010#590580#1
The owner and staff go to great lengths to make you feel comfortable.,11359762#927332#1
I can't stand this dungeon.,11359764#1373169#0
The sushi is always fresh and yummy and the menu is pretty varied.,32950061#1264345#1
"The food was great - sushi was good, but the cooked food amazed us.",11359767#969393#2
their dinner specials are fantastic.,33106326#864352#0
Delish and made to your liking!,32894522#1633452#4
"Great food, great drinks, nice dining atmosphere.",32405935#675215#0
"For the price you pay for the food here, you'd expect it to be at least on par with other Japanese restaurants.",32894669#1075584#0
Food portion was SMALL and below average.,32894669#1075584#1
Do yourself a favor and avoid this place at ALL COST!,32894669#1075584#8
since the first time I came here I've been hooked.,33070605#1232775#0
Sit back in one of those comfortable chairs.,33085669#409731#11
"People in the neighborhood seem to love it, too.",11351360#1704700#2
"in conclusion, THIS PLACE SUCKS!!!",32894416#1193614#6
My favs here are the Tacos Pastor and the Tostada de Tinga...,33070461#1496736#6
"Nick Stef's is one of the only places worthy of going in the area, so if you happen to be by Madison Square Garden or Herald's Square check it out!",11351814#1650882#6
Have to tell you: Not at all impressed.,32936760#1397861#1
"The bartenders and the managers are really nice and the decor is very comfy and laid-back, all the while being trendy.",11447227#436718#2
"For a savory take on the soup and sandwich meal, try the hot and sour soup.",32889544#0#4
"This bar has it all - great drinks, cool atmosphere, excellent service and delicious food.",35693136#561234#0
"Also, the chick peas with shrimp (appetizer) is divine.",11484031#1129679#4
"Finally, I got sick of the bad service, obnoxious smirks, and snotty back talk.",11351628#404492#9
How have I never been to Agave before?,35701425#1155856#0
"You're going to drop some coin, but completely worth it, especially if you are looking to impress someone.",11349536#778388#1
We ordered lamb which was perfectly cooked and tasted awesome.,32893510#483382#1
i especially like their soft shell crab sandwich with fries.,11359619#487952#6
"if you're looking for authentic hong kong-style food, look no further.",33070605#1232775#2
My wife I lived on the west side and found this while visiting firends on the UES.,35390182#756337#0
good food good wine that's it.,11351664#1238806#6
A nice find in the neighborhood.,33070305#1312437#7
The staff was extremely friendly and pleasant.,33070305#1312437#4
"And as SOON as one person is done, she asked to pick up the plate immediately.",32894669#1075584#3
"This place is Italian, not French.",11349840#433070#0
"After so many great reviews here, my bf and I went to Esca to celebrate my birthday last nite.",11351587#1488758#0
"While their kitchen food is delicious, their Sushi is out of this world.",11478791#397331#1
"There was a heat problem to boot, so it was about 40 degrees in the restaurant -- we had to request to uncheck our coats!",35177381#521555#2
