text,aspectTerms/aspectTerm/0/_term,aspectTerms/aspectTerm/0/_polarity,aspectTerms/aspectTerm/0/_from,aspectTerms/aspectTerm/0/_to,aspectTerms/aspectTerm/1/_term,aspectTerms/aspectTerm/1/_polarity,aspectTerms/aspectTerm/1/_from,aspectTerms/aspectTerm/1/_to,aspectTerms/aspectTerm/2/_term,aspectTerms/aspectTerm/2/_polarity,aspectTerms/aspectTerm/2/_from,aspectTerms/aspectTerm/2/_to,aspectTerms/aspectTerm/3/_term,aspectTerms/aspectTerm/3/_polarity,aspectTerms/aspectTerm/3/_from,aspectTerms/aspectTerm/3/_to,aspectCategories/aspectCategory/0/_category,aspectCategories/aspectCategory/0/_polarity,_id,aspectCategories/aspectCategory/1/_category,aspectCategories/aspectCategory/1/_polarity,aspectCategories/aspectCategory/2/_category,aspectCategories/aspectCategory/2/_polarity,aspectTerms/aspectTerm/4/_term,aspectTerms/aspectTerm/4/_polarity,aspectTerms/aspectTerm/4/_from,aspectTerms/aspectTerm/4/_to
"All the appetizers and salads were fabulous, the steak was mouth watering and the pasta was delicious!!!",appetizers,positive,8,18,salads,positive,23,29,steak,positive,49,54,pasta,positive,82,87,food,positive,813,,,,,,,,
And really large portions.,portions,positive,17,25,,,,,,,,,,,,,food,positive,1579,,,,,,,,
Go inside and you won't want to leave.,,,,,,,,,,,,,,,,,anecdotes/miscellaneous,positive,2707,,,,,,,,
Save yourself the time and trouble and skip this one!,,,,,,,,,,,,,,,,,anecdotes/miscellaneous,negative,3126,,,,,,,,
The sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable.,sweet lassi,positive,4,15,lamb chettinad,positive,41,55,garlic naan,positive,64,75,rasamalai,negative,84,93,food,conflict,2882,,,,,,,,
Service was quick.,Service,positive,0,7,,,,,,,,,,,,,service,positive,1609,,,,,,,,
"Oh, don't even let me start with how expensive the bills were!",bills,negative,51,56,,,,,,,,,,,,,price,negative,3018,,,,,,,,
Service is top notch.,Service,positive,0,7,,,,,,,,,,,,,service,positive,3292,,,,,,,,
The best thing I tasted were the lambc hops.,lambc hops,positive,33,43,,,,,,,,,,,,,food,positive,2041,,,,,,,,
Overall I would recommend it and go back again.,,,,,,,,,,,,,,,,,anecdotes/miscellaneous,positive,2609,,,,,,,,
I've been here a couple of times and have not been impressed.,,,,,,,,,,,,,,,,,anecdotes/miscellaneous,negative,1194,,,,,,,,
"Even though its good seafood, the prices are too high.",seafood,positive,21,28,prices,negative,34,40,,,,,,,,,food,positive,3440,price,negative,,,,,,
"In addition, the food is very good and the prices are reasonable.",food,positive,17,21,prices,positive,43,49,,,,,,,,,food,positive,870,price,positive,,,,,,
