reviews,lemmas,ufeat,aspectCategory
But the staff was so horrible to us.,"['us', 'staff', 'horribl']","['so horrible', 'staff was']",service
"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.","['fair', 'defici', 'complet', 'factor', 'averag', 'teodora', 'food', 'make', 'redeem']","['only redeeming', 'other deficiencies', 'factor was', ""n't make"", 'only factor', 'completely fair', 'which was', 'redeeming factor']",food
"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.","['whatev', 'except', 'whether', 'capabl', 'proudli', 'feel', 'menu', 'kitchen', 'eat', 'food', 'uniformli', 'like', 'whip']","[""it 's"", 'which whip', 'you feel', 'proudly whip', 'food is', 'whatever feel', 'very capable', 'capable kitchen', 'uniformly exceptional']",food
Where Gabriela personaly greets you and recommends you what to eat.,"['gabriela', 'eat', 'personali', 'greet', 'recommend']","['you recommends', 'what eat', 'you greets', 'personaly greets']",service
"For those that go once and don't enjoy it, all I can say is that they just don't get it.","['say', 'enjoy', 'go', 'get']","['it enjoy', ""n't enjoy"", 'all is', 'i say', 'just do', 'they get', 'it get', 'that go', ""n't get""]",anecdotes/miscellaneous
"Not only was the food outstanding, but the little 'perks' were great.","['perk', 'outstand', 'great', 'food', 'littl']","['only was', 'food outstanding', 'food was', 'not only', 'outstanding food', 'perks were', ""little 'perks"", 'little perks']",food
It is very overpriced and not very tasty.,"['tasti', 'overpric']","['it is', 'not very', 'very overpriced', 'very tasty', 'not tasty']",food
Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,"['split', 'half', 'get', 'meat', 'kind', 'dish', 'enough', 'favorit', 'chicken', 'orrechiet', 'usual', 'sausag', 'agre', 'sampl', 'waiter']","['you get', 'kind enough', 'agreed favorite', 'meats sample', 'waiters are', 'dish split', 'favorite is', 'are kind']",food
"The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.","['bagel', 'terrif', 'tast', 'chewi', 'outstand', 'gummi', 'textur', 'yet']","['bagels have', 'terrific texture', 'outstanding taste', 'taste have', 'yet not', 'not gummy']",food
Nevertheless the food itself is pretty good.,"['nevertheless', 'pretti', 'food', 'good']","['food is', 'pretty good']",food
"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.","['bacon', 'toast', 'plate', 'omelet', 'leav', 'forget', 'mayonnais', 'hot', 'temperatur', 'crumbl', 'chees', 'touch', 'cook', 'ie', 'ingredi']","['not have', 'ie cheese', 'have mayonnaise', 'they have', 'you touched', 'it touched', 'toast forgot', 'hot temperatures', 'mayonnaise have', 'ingredients left', 'it crumbled']",food
"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!","['half', 'perfect', 'drink', 'check', 'get', 'talk', 'sinc', 'could', 'sit', 'hour', 'take']","['have drinks', 'it took', 'we sit', 'drinks have', 'check get', 'which was', 'hour took']",service
The design and atmosphere is just as good.,"['good', 'design', 'atmospher']","['as good', 'just as', 'design is']",ambience
He has visited Thailand and is quite expert on the cuisine.,"['thailand', 'expert', 'cuisin', 'visit', 'quit']","['quite expert', 'visited thailand', 'thailand visited', 'he visited']",food
