reviews,lemmas,aspectCategory
But the staff was so horrible to us.,"['horribl', 'us', 'staff']",service
"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.","['food', 'make', 'fair', 'complet', 'defici', 'redeem', 'averag', 'factor', 'teodora']",food
"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.","['food', 'whatev', 'menu', 'whether', 'capabl', 'kitchen', 'proudli', 'whip', 'uniformli', 'except', 'feel', 'like', 'eat']",food
Where Gabriela personaly greets you and recommends you what to eat.,"['greet', 'recommend', 'personali', 'eat', 'gabriela']",service
"For those that go once and don't enjoy it, all I can say is that they just don't get it.","['say', 'enjoy', 'get', 'go']",anecdotes/miscellaneous
"Not only was the food outstanding, but the little 'perks' were great.","['food', 'outstand', 'littl', 'perk', 'great']",food
It is very overpriced and not very tasty.,"['tasti', 'overpric']",food
Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,"['waiter', 'sausag', 'chicken', 'kind', 'agre', 'enough', 'half', 'meat', 'get', 'dish', 'favorit', 'orrechiet', 'split', 'sampl', 'usual']",food
"The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.","['terrif', 'outstand', 'tast', 'gummi', 'bagel', 'yet', 'textur', 'chewi']",food
Nevertheless the food itself is pretty good.,"['food', 'good', 'pretti', 'nevertheless']",food
"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.","['ie', 'chees', 'hot', 'temperatur', 'cook', 'forget', 'mayonnais', 'touch', 'toast', 'omelet', 'plate', 'leav', 'ingredi', 'crumbl', 'bacon']",food
"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!","['take', 'half', 'talk', 'hour', 'get', 'drink', 'perfect', 'sit', 'sinc', 'could', 'check']",service
The design and atmosphere is just as good.,"['good', 'design', 'atmospher']",ambience
He has visited Thailand and is quite expert on the cuisine.,"['cuisin', 'quit', 'expert', 'visit', 'thailand']",food
I would definitely recommend Mary's and am making it one of my regular neighborhood haunts.,"['make', 'definit', 'would', 'haunt', 'mari', 'recommend', 'one', 'regular', 'neighborhood']",anecdotes/miscellaneous
The pizza is the best if you like thin crusted pizza.,"['pizza', 'like', 'best', 'thin', 'crust']",food
My Girlfriend and I stumbled onto this hopping place the other night and had a great time!,"['stumbl', 'onto', 'girlfriend', 'night', 'time', 'place', 'hop', 'great']",anecdotes/miscellaneous
"He can't help, they're bought up so fast.","['help', 'buy', 'fast']",anecdotes/miscellaneous
"Secondly, on this night the place was overwhelmed by upper east side ladies perfume.","['upper', 'side', 'overwhelm', 'ladi', 'east', 'perfum', 'night', 'secondli', 'place']",ambience
"i have eaten here a handful of times, for no reason besides sheer convenience.","['besid', 'sheer', 'conveni', 'eat', 'time', 'reason', 'hand']",anecdotes/miscellaneous
Obviously run by folks who know a pie.,"['obvious', 'folk', 'know', 'run', 'pie']",service
We were very disappointed.,['disappoint'],anecdotes/miscellaneous
IT IS DEFINITELY SPECIAL AND AFFORDABLE.,"['afford', 'definit', 'special']",anecdotes/miscellaneous
I really liked this place.,"['place', 'like', 'realli']",anecdotes/miscellaneous
I will be going back very soon.,"['soon', 'back', 'go']",anecdotes/miscellaneous
"All the money went into the interior decoration, none of it went to the chefs.","['go', 'money', 'none', 'interior', 'chef', 'decor']",ambience
The seats are uncomfortable if you are sitting against the wall on wooden benches.,"['wall', 'seat', 'bench', 'wooden', 'uncomfort', 'sit']",ambience
