lemmas,bigrams
"['horribl', 'staff', 'us']",so horrible;
"['redeem', 'teodora', 'averag', 'fair', 'factor', 'complet', 'make', 'defici', 'food']",completely fair;only redeeming;n't make;other deficiencies;
"['like', 'whether', 'feel', 'capabl', 'eat', 'menu', 'except', 'uniformli', 'proudli', 'kitchen', 'whatev', 'whip', 'food']",uniformly exceptional;very capable;capable kitchen;proudly whip;
"['personali', 'recommend', 'gabriela', 'eat', 'greet']",
"['go', 'get', 'say', 'enjoy']",n't enjoy;just do;n't get;
"['littl', 'outstand', 'perk', 'food', 'great']",not only;only was;food outstanding;little 'perks;
"['overpric', 'tasti']",very overpriced;not very;very tasty;
"['waiter', 'usual', 'get', 'half', 'chicken', 'split', 'favorit', 'dish', 'kind', 'sausag', 'enough', 'agre', 'orrechiet', 'sampl', 'meat']",agreed favorite;are kind;kind enough;
"['gummi', 'terrif', 'chewi', 'yet', 'textur', 'outstand', 'bagel', 'tast']",outstanding taste;terrific texture;yet not;not gummy;
"['pretti', 'food', 'nevertheless', 'good']",pretty good;
"['ie', 'hot', 'touch', 'leav', 'forget', 'chees', 'temperatur', 'bacon', 'crumbl', 'ingredi', 'mayonnais', 'omelet', 'plate', 'toast', 'cook']",not have;have mayonnaise;ie cheese;hot temperatures;
"['get', 'half', 'could', 'sinc', 'check', 'talk', 'perfect', 'hour', 'take', 'drink', 'sit']",have drinks;
"['design', 'good', 'atmospher']",just as;as good;
"['quit', 'visit', 'thailand', 'cuisin', 'expert']",visited thailand;quite expert;
"['regular', 'neighborhood', 'one', 'recommend', 'make', 'would', 'mari', 'haunt', 'definit']",definitely recommend;recommend mary;regular neighborhood;
"['like', 'best', 'crust', 'thin', 'pizza']",thin crusted;crusted pizza;
"['time', 'onto', 'hop', 'stumbl', 'night', 'girlfriend', 'place', 'great']",hopping place;other night;great time;
"['help', 'buy', 'fast']",n't help;so fast;
"['ladi', 'east', 'night', 'overwhelm', 'upper', 'secondli', 'place', 'perfum', 'side']",upper east;east side;
"['hand', 'time', 'reason', 'sheer', 'besid', 'conveni', 'eat']",
"['know', 'obvious', 'run', 'pie', 'folk']",obviously run;
['disappoint'],very disappointed;
"['afford', 'special', 'definit']",definitely special;
"['like', 'place', 'realli']",really liked;
"['go', 'back', 'soon']",back very;very soon;
"['chef', 'interior', 'decor', 'money', 'go', 'none']",interior decoration;
"['wall', 'seat', 'bench', 'wooden', 'sit', 'uncomfort']",wooden benches;
"['ice', 'lime', 'seltzer', 'ask']",
"['pretti', 'inexpens']",pretty inexpensive;
['back'],not be;
"['whole', 'alon', 'peopl', 'two', 'pickl', 'even', 'seafood', 'select', 'enough', 'go', 'experi', 'meat']",n't go;n't enough;whole experience;
"['famili', 'style', 'want', 'suggest', 'dish', 'tri', 'eat']",eat family;other dishes;
"['best', 'owner', 'fast', 'servic', 'vibe', 'super', 'friendli', 'warm']",warm vibe;
"['joint', 'valu']",
"['faan', 'get', 'rough', 'concept', 'littl', 'deliveri', 'great']",great concept;little rough;
"['neighborhood', 'warm', 'atmospher', 'beat', 'miss', 'servic', 'incred', 'downtown', 'friendli', 'food', 'spot']",incredible food;friendly service;downtown neighborhood;n't miss;
"['beat', 'reason', 'make', 'even', 'food', 'price', 'great']",great food;reasonable prices;n't be;
"['tri', 'foward', 'upon', 'look', 'ruben', 'return']",look foward;
"['hous', 'candl', 'strip', 'seem', 'roth', 'hold', 'steakhous']",only other;other steakhouse;
"['usual', 'celebr', 'hous', 'anniversari', 'chart', 'birthday', 'go']",usually go;
"['interior', 'decor', 'cute', 'afford', 'littl', 'citi', 'place', 'price']",little place;cute interior;interior decor;affordable city;
['ador'],
"['wine', 'two', 'word', 'free']",free wine;
"['although', 'reason', 'poor', 'servic', 'price']",
"['come', 'quantiti', 'also', 'good', 'satisfi']",also very;very good;
"['time', 'roth', 'twice', 'disappoint']",very disappointing;
"['ave', 'visit', 'st', 'store', 'worth', 'origin', 'spot']",worth visiting;ave spot;original store;
"['friday', 'lover', 'action', 'closer', 'sushi', 'town', 'two', 'stumbl', 'floor', 'friend', 'l', 'bar', 'seriou', 'upon', 'second', 'sit', 'ago', 'walk']",second floor;floor walk-up;serious sushi;
"['romant', 'cozi', 'restaur', 'raga']",cozy restaurant;
"['fri', 'rice', 'amaz']",fried rice;
"['mussel', 'world', 'includ', 'puff', 'delici', 'au', 'hanger', 'excel', 'choic', 'three', 'pastri', 'chees', 'salad', 'dress', 'cours', 'poivr', 'steak', 'goat']",excellent mussels;puff pastry;delicious dressing;
"['place', 'perfect', 'indian', 'amanz', 'food']",perfect place;indian food;
"['prompt', 'curtiou', 'servic', 'cool', 'place']",so cool;
"['leav', 'broth', 'slurp', 'mild', 'cup', 'end', 'noodl']",mild broth;
"['wonder', 'money', 'meal', 'littl', 'delici']",just wonder;delicious meal;such little;little money;
"['come', 'stomach', 'delici', 'empti', 'food']",not come;empty stomach;
"['excel', 'list', 'wine']",wine list;
"['garantuan', 'toaster', 'fit']",so garantuan;n't fit;
"['far', 'manhattan', 'restaur', 'best', 'ive', 'mom', 'except', 'mani', 'cours', 'thai', 'food', 'toon']",ive been;many thai;thai restaurants;best thai;
"['finish', 'wouldnt', 'anoth', 'even', 'offer', 'glass', 'let', 'wine']",even let;
"['sophia', 'pizza', 'highli', 'recommend']",highly recommend;
"['know', 'question', 'detail', 'special', 'whem', 'ask']",more detailed;detailed questions;
"['dine', 'place', 'consist', 'dinner', 'lunch', 'great']",consistently great;great place;
"['pleasant', 'atmospher', 'nice', 'desert', 'servic', 'good']",nice atmosphere;very pleasant;
"['back', 'peopl', 'bring', 'friend', 'go']",i bring;there go;
"['tabl', 'enjoy', 'dinner', 'sit', 'realli', 'bar']",really enjoying;had dinner;
"['atmospher', 'chill', 'environ', 'fabul', 'servic', 'food', 'fantast']",fabulous service;fantastic food;
"['hear', 'want']",
"['tri', 'appet', 'lasagnett']",
"['worth', 'tri', 'pricey', 'least']",
"['time', 'usual', 'odd', 'peopl', 'pretti', 'next', 'sit', 'end']",few times;usually end;pretty odd;odd people;
"['beer', 'like', 'select']",
"['size', 'menu', 'servic', 'set', 'good', 'unpretensi', 'food', 'great']",great food;good size;great service;unpretensious setting;
