reviews,lemmas,lemmas,aspectCategory
But the staff was so horrible to us.,"['us', 'horribl', 'staff']","['us', 'horribl', 'staff']",service
"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.","['teodora', 'make', 'redeem', 'averag', 'fair', 'food', 'complet', 'factor', 'defici']","['teodora', 'make', 'redeem', 'averag', 'fair', 'food', 'complet', 'factor', 'defici']",food
"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.","['kitchen', 'uniformli', 'feel', 'eat', 'whether', 'capabl', 'food', 'except', 'whip', 'like', 'proudli', 'whatev', 'menu']","['kitchen', 'uniformli', 'feel', 'eat', 'whether', 'capabl', 'food', 'except', 'whip', 'like', 'proudli', 'whatev', 'menu']",food
Where Gabriela personaly greets you and recommends you what to eat.,"['gabriela', 'eat', 'recommend', 'personali', 'greet']","['gabriela', 'eat', 'recommend', 'personali', 'greet']",service
"For those that go once and don't enjoy it, all I can say is that they just don't get it.","['enjoy', 'get', 'go', 'say']","['enjoy', 'get', 'go', 'say']",anecdotes/miscellaneous
"Not only was the food outstanding, but the little 'perks' were great.","['littl', 'food', 'perk', 'outstand', 'great']","['littl', 'food', 'perk', 'outstand', 'great']",food
It is very overpriced and not very tasty.,"['overpric', 'tasti']","['overpric', 'tasti']",food
Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,"['sausag', 'enough', 'chicken', 'split', 'dish', 'get', 'meat', 'favorit', 'usual', 'orrechiet', 'half', 'waiter', 'kind', 'sampl', 'agre']","['sausag', 'enough', 'chicken', 'split', 'dish', 'get', 'meat', 'favorit', 'usual', 'orrechiet', 'half', 'waiter', 'kind', 'sampl', 'agre']",food
"The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.","['gummi', 'textur', 'chewi', 'tast', 'yet', 'outstand', 'terrif', 'bagel']","['gummi', 'textur', 'chewi', 'tast', 'yet', 'outstand', 'terrif', 'bagel']",food
Nevertheless the food itself is pretty good.,"['nevertheless', 'food', 'pretti', 'good']","['nevertheless', 'food', 'pretti', 'good']",food
"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.","['plate', 'bacon', 'forget', 'omelet', 'touch', 'crumbl', 'toast', 'cook', 'hot', 'ingredi', 'ie', 'temperatur', 'leav', 'mayonnais', 'chees']","['plate', 'bacon', 'forget', 'omelet', 'touch', 'crumbl', 'toast', 'cook', 'hot', 'ingredi', 'ie', 'temperatur', 'leav', 'mayonnais', 'chees']",food
"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!","['could', 'check', 'take', 'get', 'hour', 'perfect', 'sinc', 'half', 'sit', 'talk', 'drink']","['could', 'check', 'take', 'get', 'hour', 'perfect', 'sinc', 'half', 'sit', 'talk', 'drink']",service
The design and atmosphere is just as good.,"['design', 'good', 'atmospher']","['design', 'good', 'atmospher']",ambience
He has visited Thailand and is quite expert on the cuisine.,"['cuisin', 'quit', 'expert', 'visit', 'thailand']","['cuisin', 'quit', 'expert', 'visit', 'thailand']",food
I would definitely recommend Mary's and am making it one of my regular neighborhood haunts.,"['would', 'regular', 'make', 'neighborhood', 'recommend', 'mari', 'haunt', 'one', 'definit']","['would', 'regular', 'make', 'neighborhood', 'recommend', 'mari', 'haunt', 'one', 'definit']",anecdotes/miscellaneous
The pizza is the best if you like thin crusted pizza.,"['pizza', 'best', 'thin', 'crust', 'like']","['pizza', 'best', 'thin', 'crust', 'like']",food
My Girlfriend and I stumbled onto this hopping place the other night and had a great time!,"['night', 'stumbl', 'hop', 'place', 'time', 'onto', 'girlfriend', 'great']","['night', 'stumbl', 'hop', 'place', 'time', 'onto', 'girlfriend', 'great']",anecdotes/miscellaneous
