reviews,lemmas,lemmas,lemmas,aspectCategory
But the staff was so horrible to us.,"['staff', 'us', 'horribl']",so horrible;,staff was;,service
"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.","['fair', 'make', 'averag', 'redeem', 'teodora', 'complet', 'food', 'defici', 'factor']",completely fair;only redeeming;n't make;other deficiencies;,only factor;redeeming factor;factor was;which was;n't make;other deficiencies;,food
"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.","['feel', 'eat', 'uniformli', 'whether', 'whip', 'kitchen', 'whatev', 'except', 'like', 'proudli', 'food', 'menu', 'capabl']",uniformly exceptional;very capable;capable kitchen;proudly whip;,food is;capable kitchen;which whip;whatever feel;you feel;it 's;,food
Where Gabriela personaly greets you and recommends you what to eat.,"['eat', 'gabriela', 'recommend', 'greet', 'personali']",,personaly greets;you greets;you recommends;what eat;,service
"For those that go once and don't enjoy it, all I can say is that they just don't get it.","['get', 'enjoy', 'go', 'say']",n't enjoy;just do;n't get;,that go;n't enjoy;it enjoy;all is;i say;they get;n't get;it get;,anecdotes/miscellaneous
"Not only was the food outstanding, but the little 'perks' were great.","['littl', 'perk', 'outstand', 'food', 'great']",not only;only was;food outstanding;little 'perks;,food was;outstanding food;little perks;perks were;,food
It is very overpriced and not very tasty.,"['overpric', 'tasti']",very overpriced;not very;very tasty;,it is;not tasty;,food
Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,"['kind', 'orrechiet', 'split', 'half', 'enough', 'agre', 'usual', 'waiter', 'sausag', 'dish', 'get', 'chicken', 'sampl', 'favorit', 'meat']",agreed favorite;are kind;kind enough;,agreed favorite;favorite is;waiters are;dish split;you get;meats sample;,food
"The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.","['textur', 'yet', 'terrif', 'gummi', 'outstand', 'tast', 'bagel', 'chewi']",outstanding taste;terrific texture;yet not;not gummy;,bagels have;outstanding taste;taste have;terrific texture;not gummy;,food
Nevertheless the food itself is pretty good.,"['food', 'good', 'pretti', 'nevertheless']",pretty good;,food is;,food
"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.","['touch', 'bacon', 'forget', 'temperatur', 'leav', 'toast', 'hot', 'ingredi', 'cook', 'crumbl', 'plate', 'mayonnais', 'ie', 'omelet', 'chees']",not have;have mayonnaise;ie cheese;hot temperatures;,they have;not have;mayonnaise have;toast forgot;ingredients left;ie cheese;hot temperatures;it crumbled;you touched;it touched;,food
"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!","['half', 'take', 'get', 'could', 'perfect', 'drink', 'hour', 'talk', 'sit', 'check', 'sinc']",have drinks;,it took;hour took;check get;which was;we sit;drinks have;,service
The design and atmosphere is just as good.,"['design', 'good', 'atmospher']",just as;as good;,design is;,ambience
He has visited Thailand and is quite expert on the cuisine.,"['visit', 'quit', 'cuisin', 'expert', 'thailand']",visited thailand;quite expert;,he visited;thailand visited;,food
I would definitely recommend Mary's and am making it one of my regular neighborhood haunts.,"['haunt', 'one', 'neighborhood', 'make', 'recommend', 'regular', 'mari', 'would', 'definit']",definitely recommend;recommend mary;regular neighborhood;,i recommend;mary recommend;it one;regular haunts;,anecdotes/miscellaneous
The pizza is the best if you like thin crusted pizza.,"['best', 'crust', 'like', 'thin', 'pizza']",thin crusted;crusted pizza;,pizza is;you like;thin pizza;crusted pizza;pizza like;,food
My Girlfriend and I stumbled onto this hopping place the other night and had a great time!,"['onto', 'girlfriend', 'place', 'time', 'night', 'stumbl', 'hop', 'great']",hopping place;other night;great time;,i stumbled;other night;great time;time had;,anecdotes/miscellaneous
"He can't help, they're bought up so fast.","['help', 'fast', 'buy']",n't help;so fast;,he help;n't help;they bought;,anecdotes/miscellaneous
